Arica y Parinacota, XV, Arica, 1
Tarapacá, I, Iquique, 1
Antofagasta, II, Antofagasta, 1
Atacama, III, Copiapó, 1
Coquimbo, IV, La Serena, 1
Valparaíso, V, Valparaíso, 1
Libertador General Bernardo O'Higgins, VI, Rancagua, 1
Maule, VII, Talca, 1
Biobío, VIII, Concepción, 1
Araucanía, IX, Temuco, 1
Los Ríos, XIV, Valdivia, 1 
Los Lagos, X, Puerto Montt, 1
Aysén del General Carlos Ibáñez del Campo, XI, Coyhaique, 1
Magallanes y de la Antártica Chilena, XII, Punta Arenas, 1
Metropolitana de Santiago, XIII, Santiago, 1
